id,name,series_id/id
__setup__.product_reporting_system_panel_cincoze_panel_p1000_series_cv_p1101,CV-P1101,__setup__.product_reporting_series_panel_cincoze_panel_p1000_series
__setup__.product_reporting_system_panel_cincoze_panel_p1000_series_cv_p1101_tm410_,CV-P1101 (TM410),__setup__.product_reporting_series_panel_cincoze_panel_p1000_series
__setup__.product_reporting_system_panel_cincoze_panel_p1000_series_cv_p1301,CV-P1301,__setup__.product_reporting_series_panel_cincoze_panel_p1000_series
__setup__.product_reporting_system_panel_cincoze_panel_p2000_series_cs_p2002,CS-P2002,__setup__.product_reporting_series_panel_cincoze_panel_p2000_series
__setup__.product_reporting_system_panel_cincoze_panel_p2000_series_cs_p2102,CS-P2102,__setup__.product_reporting_series_panel_cincoze_panel_p2000_series
__setup__.product_reporting_system_panel_cincoze_panel_p2000_series_cv_p2002,CV-P2002,__setup__.product_reporting_series_panel_cincoze_panel_p2000_series
__setup__.product_reporting_system_panel_cincoze_panel_p2000_series_cv_p2102,CV-P2102,__setup__.product_reporting_series_panel_cincoze_panel_p2000_series
__setup__.product_reporting_system_panel_cincoze_panel_p2000_series_cv_p2202,CV-P2202,__setup__.product_reporting_series_panel_cincoze_panel_p2000_series
__setup__.product_reporting_system_panel_cincoze_panel_p2000_series_p1101_ign310_,P1101 (IGN310),__setup__.product_reporting_series_panel_cincoze_panel_p2000_series
__setup__.product_reporting_system_panel_cincoze_panel_p2000_series_p2002_ign300_,P2002 (IGN300),__setup__.product_reporting_series_panel_cincoze_panel_p2000_series
__setup__.product_reporting_system_panel_cincoze_panel_p2000_series_p2102_ign320_,P2102 (IGN320),__setup__.product_reporting_series_panel_cincoze_panel_p2000_series
__setup__.product_reporting_system_panel_mitac_panel_d_series_d210_11ks,D210-11KS,__setup__.product_reporting_series_panel_mitac_panel_d_series
__setup__.product_reporting_system_panel_mitac_panel_p100_series_p100_10as,P100-10AS,__setup__.product_reporting_series_panel_mitac_panel_p100_series
__setup__.product_reporting_system_panel_onlogic_panel_tacton_series_tc401,TC401,__setup__.product_reporting_series_panel_onlogic_panel_tacton_series
__setup__.product_reporting_system_panel_onlogic_panel_tacton_series_tn101,TN101,__setup__.product_reporting_series_panel_onlogic_panel_tacton_series
__setup__.product_reporting_system_panel_panel_pc_p1000_series_cv_p1101,CV-P1101,__setup__.product_reporting_series_panel_panel_pc_p1000_series
__setup__.product_reporting_system_panel_by_cincoze_components_components_m1101,M1101,__setup__.product_reporting_series_panel_by_cincoze_components_components
__setup__.product_reporting_system_rugged_entry_da_series_da_1000,DA-1000,__setup__.product_reporting_series_rugged_entry_da_series
__setup__.product_reporting_system_rugged_entry_da_series_da_1100,DA-1100,__setup__.product_reporting_series_rugged_entry_da_series
__setup__.product_reporting_system_rugged_entry_dc_series_dc_1100,DC-1100,__setup__.product_reporting_series_rugged_entry_dc_series
__setup__.product_reporting_system_rugged_entry_dc_series_dc_1100_tm300_,DC-1100 (TM300),__setup__.product_reporting_series_rugged_entry_dc_series
__setup__.product_reporting_system_rugged_entry_dc_series_dc_1200,DC-1200,__setup__.product_reporting_series_rugged_entry_dc_series
